Cellulose_b,DPA,L_1_PHOSPHATIDYL_ETHANOLAMINE_r,L_PHOSPHATIDATE_p,PHOSPHATIDYL_CHOLINE_r,Starch_b,pALA_b,pARG_b,pASN_b,pASP_b,pCYS_b,pGLN_b,pGLU_b,pGLY_b,pHIS_b,pILE_b,pLEU_b,pLYS_b,pMET_b,pPHE_b,pPRO_b,pSER_b,pTHR_b,pTRP_b,pTYR_b,pVAL_b,sALA_b,sASN_b,sASP_b,sCIT_b,sFRUCTOSE_6P_b,sFRU_b,sFUM_b,sGABA_b,sGLC_b,sGLN_b,sGLU_b,sGLY_b,sILE_b,sLYS_b,sMALTOSE_b,sMAL_b,sMET_b,sPHE_b,sPRO_b,sPYRUVATE_b,sSER_b,sSUCROSE_b,sTHR_b,sTRP_b,sTYR_b,sVAL_b
0.053087455,11,0.001123845,0.001539626,0.001453176,0.001491894,0.000126406,0.000103104,6.44E-05,0.000212802,0.000156084,6.00E-05,0.000115195,0.000129704,0.000113876,7.52E-05,2.42E-06,0.000193676,7.10E-05,0.000103543,0.000100685,0.000185762,0.000137398,5.67E-05,0.000104642,8.57E-05,0.075381714,0.215864726,2.26E-07,0.819163224,0.02372953,8.503334651,0.003420217,0.121178063,13.70154743,10.21652786,6.885333776,0.000213204,0.000805413,0.122463286,0.004783579,1.559935708,0.004190587,0.001776868,2.60E-05,0.043661164,0.343341627,0.075680978,0.001087741,0.009249717,0.002305197,0.075592255
0.058221524,12,0.001232683,0.001688731,0.001593909,0.001625065,0.000136434,0.000111282,6.95E-05,0.000229683,0.000168466,6.48E-05,0.000124332,0.000139993,0.000122909,8.11E-05,2.61E-06,0.00020904,7.66E-05,0.000111757,0.000108672,0.000200498,0.000148297,6.12E-05,0.000112943,9.25E-05,0.085570399,0.238511297,3.68E-07,0.973680094,0.026710366,10.87297989,0.004120014,0.181421248,17.01791966,11.53540405,7.662411349,0.000347412,0.001312332,0.130696701,0.005798458,1.985846629,0.004749798,0.002895005,4.24E-05,0.050557493,0.398073527,0.101604795,0.001725891,0.009961951,0.003755008,0.094795153
0.063778653,13,0.00135049,0.001850122,0.001746238,0.001743131,0.000148183,0.000120866,7.55E-05,0.000249463,0.000182974,7.04E-05,0.00013504,0.000152049,0.000133494,8.81E-05,2.83E-06,0.000227042,8.32E-05,0.000121381,0.000118031,0.000217765,0.000161069,6.65E-05,0.00012267,0.000100507,0.095612702,0.263328002,5.99E-07,1.156347787,0.029796278,13.89384654,0.004936114,0.271527096,21.11941204,13.00996744,8.518835946,0.000566058,0.002138078,0.139451664,0.007037915,2.49732778,0.005382989,0.004716055,6.91E-05,0.05841726,0.461077391,0.136340802,0.002738231,0.010727368,0.006114928,0.1172115
0.0697229,14,0.001476506,0.002022759,0.001909181,0.001840954,0.000161658,0.000131857,8.24E-05,0.000272149,0.000199613,7.68E-05,0.00014732,0.000165876,0.000145633,9.62E-05,3.09E-06,0.000247689,9.08E-05,0.000132419,0.000128765,0.000237568,0.000175716,7.25E-05,0.000133825,0.000109647,0.10520568,0.290476272,9.77E-07,1.371882479,0.032947248,17.73910618,0.005881344,0.40619072,26.18234731,14.65451343,9.460668153,0.000922205,0.003482808,0.148756674,0.008552112,3.102762244,0.006099763,0.007680733,0.000112616,0.067342772,0.533446169,0.182830177,0.004343878,0.011549669,0.009953425,0.142921177
0.075998021,15,0.00160954,0.00220501,0.002081199,0.001913796,0.000176815,0.00014422,9.01E-05,0.000297664,0.000218328,8.39E-05,0.000161132,0.000181428,0.000159287,0.000105166,3.38E-06,0.000270911,9.93E-05,0.000144835,0.000140837,0.000259841,0.00019219,7.93E-05,0.000146372,0.000119927,0.114048798,0.320118826,1.59E-06,1.625619551,0.036118902,22.62431247,0.006968431,0.607205055,32.41747839,16.48348811,10.49392175,0.001502142,0.005671725,0.158641136,0.010401775,3.809030512,0.006910917,0.012504158,0.00018347,0.077439434,0.616362407,0.244952335,0.006889803,0.012432771,0.016189348,0.171881023
0.082522553,16,0.001747866,0.002394513,0.002260062,0.001957583,0.000193538,0.00015786,9.86E-05,0.000325818,0.000238978,9.19E-05,0.000176372,0.000198587,0.000174353,0.000115113,3.70E-06,0.000296535,0.000108718,0.000158533,0.000154158,0.000284417,0.000210368,8.68E-05,0.000160216,0.00013127,0.121861542,0.352416764,2.59E-06,1.923521985,0.039263723,28.8154427,0.008209578,0.906724254,40.07388015,18.51110411,11.62440985,0.002446021,0.009232191,0.169135285,0.012660107,4.620836775,0.007828576,0.020343527,0.000298846,0.088813777,0.711085296,0.327789506,0.010924761,0.013380811,0.026300181,0.203902251
0.089185546,17,0.001889136,0.002588047,0.002442728,0.001969146,0.000211623,0.000172611,0.000107836,0.000356263,0.000261309,0.000100475,0.000192853,0.000217144,0.000190645,0.00012587,4.05E-06,0.000324244,0.000118877,0.000173347,0.000168563,0.000310994,0.000230026,9.50E-05,0.000175187,0.000143536,0.128399954,0.387525942,4.23E-06,2.272151959,0.042332443,36.63692722,0.009615957,1.35182359,49.4416034,20.7508372,12.85755267,0.003980985,0.015016726,0.180270093,0.015414901,5.540018322,0.008866337,0.03306302,0.000486626,0.101570911,0.818928311,0.437937772,0.017314914,0.014398147,0.042641392,0.238633198
0.09584363,18,0.002030309,0.002781449,0.002625271,0.001946405,0.000230751,0.000188213,0.000117583,0.000388465,0.000284928,0.000109557,0.000210285,0.000236771,0.000207877,0.000137247,4.41E-06,0.000353551,0.000129622,0.000189015,0.000183798,0.000339104,0.000250817,0.000103537,0.000191022,0.00015651,0.13347076,0.425592505,6.89E-06,2.678587718,0.045275555,46.47843467,0.011197125,2.010614202,60.8518619,23.21478694,14.19814308,0.006473881,0.024396462,0.192077155,0.018770835,6.564881173,0.01003942,0.053643681,0.000791996,0.11581135,0.94122465,0.583848101,0.027423127,0.015489365,0.068915258,0.275549574
0.102320354,19,0.002167647,0.002969597,0.002802855,0.001888506,0.000250472,0.000204298,0.000127632,0.000421664,0.000309279,0.00011892,0.000228256,0.000257006,0.000225643,0.000148976,4.79E-06,0.000383767,0.0001407,0.000205169,0.000199506,0.000368085,0.000272252,0.000112386,0.000207347,0.000169885,0.136942015,0.466747523,1.12E-05,3.150263028,0.048044869,58.79827788,0.012960353,2.979867449,74.67294275,25.91288776,15.65006675,0.0105138,0.03955811,0.204588545,0.022851881,7.689610587,0.011364837,0.086794848,0.001287934,0.131627145,1.079277345,0.776153911,0.043383025,0.016659274,0.110804213,0.313954027
0.108408839,20,0.002296764,0.003146483,0.002969809,0.001795869,0.000270197,0.000220387,0.000137683,0.000454871,0.000333635,0.000128285,0.000246232,0.000277246,0.000243412,0.000160709,5.17E-06,0.000413989,0.00015178,0.000221327,0.000215218,0.000397072,0.000293693,0.000121236,0.000223676,0.000183264,0.138749569,0.511100655,1.83E-05,3.694701739,0.050595051,74.12000897,0.014909901,4.393220067,91.29932556,28.85196305,17.21597597,0.017037833,0.063940778,0.217836647,0.027803716,8.903807335,0.012861553,0.139806542,0.002091617,0.149097308,1.234290805,1.027894325,0.068508067,0.017912908,0.176682449,0.352986297
